code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
GNM,SNGI,Guanambi,-14.3,-42.783333,1729,,America/Bahia,GNM,BR,Guanambi,Bahia,Guanambi,AP
GPB,SSGG,Tancredo Thomaz Faria,-25.333332,-51.5,3395,,America/Sao_Paulo,GPB,BR,Guarapuava,Parana,Guarapuava,AP
GRU,SBGR,Sao Paulo-Guarulhos International Airport,-23.43779495,-46.4813205288006,2460,http://www.infraero.gov.br/,America/Sao_Paulo,SAO,BR,Guarulhos,Sao Paulo,Guarulhos,AP
GVR,SBGV,Governador Valadares Airport,-18.850279,-41.933334,492,,America/Sao_Paulo,GVR,BR,Governador Valadares,Minas Gerais,Governador Valadares,AP
GYN,SBGO,Santa Genoveva Airport,-16.632631,-49.226624,2440,,America/Sao_Paulo,GYN,BR,Goiania,Goias,Goiania,AP
IAL,,Aeroporto Municipal de Salinas,-16.208333,-42.321944,2503,,America/Sao_Paulo,IAL,BR,,,,AP
IGU,SBFI,Cataratas International Airport,-25.5930616,-54.49060873125,757,,America/Sao_Paulo,IGU,BR,Puerto Iguazu,Misiones,Departamento de Iguazu,AP
IMP,SBIZ,Imperatriz Airport,-5.5301267,-47.45800807097166,390,,America/Fortaleza,IMP,BR,Imperatriz,Maranhao,Imperatriz,AP
IOS,SBIL,Ilheus/Bahia-Jorge Amado Airport,-14.813889,-39.03,13,,America/Bahia,IOS,BR,Ilheus,Bahia,Ilheus,AP
IPN,SBIP,Usiminas Airport,-19.5,-42.533333,725,,America/Sao_Paulo,IPN,BR,Ipatinga,Minas Gerais,Ipatinga,AP
IRZ,SWTP,Tapuruquara,-0.37810525,-64.99261880076497,137,,America/Manaus,IRZ,BR,Santa Isabel do Rio Negro,Amazonas,Santa Isabel Do Rio Negro,AP
ITB,SBIH,Itaituba,-4.283333,-55.983334,22,,America/Santarem,ITB,BR,Itaituba,Para,Itaituba,AP
IZA,SBZM,Zona da Mata Regional Airport,-21.513056,-43.173058,1318,,America/Sao_Paulo,JDF,BR,Rio Novo,Minas Gerais,Rio Novo,AP
JAW,SNAB,Aeroporto de Araripina,-7.586389,-40.535556,2195,,America/Recife,JAW,BR,,,,AP
JDO,SBJU,Orlando Bezerra de Menezes Airport,-7.2,-39.316666,1243,,America/Fortaleza,JDO,BR,Juazeiro do Norte,Ceara,Juazeiro Do Norte,AP
JJD,SBJE,Jericoacoara,-2.9061463,-40.35715399349103,29,,Brazil/East,JJD,BR,Cruz,Ceara,Cruz,AP
JMA,,Marriot Astrodome,29.983334,-95.34,121,,America/Chicago,HOU,US,Aldine,Texas,Harris County,AP
JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport,-26.2249688,-48.79862231685878,15,,America/Sao_Paulo,JOI,BR,Joinville,Santa Catarina,Joinville,AP
JPA,SBJP,Presidente Castro Pinto International Airport,-7.148930699999999,-34.95030583440195,217,,America/Fortaleza,JPA,BR,Bayeux,Paraiba,Bayeux,AP
JPE,SNEB,Nagib Demachki Airport,-3.019722,-47.316389,443,,America/Sao_Paulo,JPE,BR,Paragominas,,,AP
JPO,SNTS,Brigadeiro Firmino Ayres Airport,-7.037496939556,-37.25184761766,850,,America/Recife,NVM,BR,Patos,,,AP
JPR,SBJI,Ji-Parana Airport,-10.870556,-61.84667,598,,America/Porto_Velho,JPR,BR,Ji Parana,Rondonia,Ji-Parana,AP
JTC,SBAE,Bauru-Arealva Airport,-22.15705835,-49.07515943787047,1962,http://www.daesp.sp.gov.br/aeroporto-estadual-de-bauru-arealva-moussa-nakhal-tobias/,America/Sao_Paulo,JTC,BR,Bauru,Sao Paulo,Bauru,AP
LBR,SWLB,Labrea,-7.25,-64.85,190,,America/Manaus,LBR,BR,Canutama,Amazonas,Canutama,AP
LDB,SBLO,Londrina Airport,-23.328457,-51.137714,1867,,America/Sao_Paulo,LDB,BR,Londrina,Parana,Londrina,AP
LEC,SBLE,Coronel Horacio de Mattos Airport,-12.48,-41.281113,1676,,America/Bahia,LEC,BR,Vera Cruz,Bahia,Andarai,AP
LHN,,Lishan,23.433332,121.3,0,,Asia/Taipei,LHN,TW,Hualian,Taiwan,Hualien,AP
LIS,LPPT,Lisbon Portela Airport,38.7809542,-9.131900592219496,374,http://www.ana.pt/en-US/Aeroportos/lisboa/Lisboa/Pages/HomeLisboa.aspx,Europe/Lisbon,LIS,PT,Moscavide,Lisbon,Loures,AP
MAB,SBMA,Maraba Airport,-5.366667,-49.166668,334,,America/Belem,MAB,BR,,,,AP
MAD,LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4948384,-3.5740806206811317,1955,http://www.aena.es/en/passengers/passengers.html,Europe/Madrid,MAD,ES,Barajas de Madrid,Madrid,Provincia de Madrid,AP
MAO,SBEG,Eduardo Gomes International Airport,-3.03553825,-60.04575303314657,259,https://www4.infraero.gov.br/aeroportos/aeroporto-internacional-de-manaus-eduardo-gomes/,America/Manaus,MAO,BR,,,,AP
MBZ,SWMW,Maues,-3.36992465,-57.72495510284816,59,,America/Manaus,MBZ,BR,Maues,Amazonas,Maues,AP
MCO,KMCO,Orlando International Airport,28.412903550000003,-81.30944309752753,82,http://www.orlandoairports.net/,America/New_York,ORL,US,Taft,Florida,Orange County,AP
MCP,SBMQ,Macapa International Airport,0.0505785,-51.07059996039651,42,,America/Belem,MCP,BR,Macapa,Amapa,Macapa,AP
MCZ,SBMO,Maceio-Zumbi dos Palmares International Airport,-9.512521,-35.800446,321,,America/Maceio,MCZ,BR,Satuba,Alagoas,Satuba,AP
MEU,SBMD,Monte Dourado,-0.8896558000000001,-52.60197779839184,649,,America/Santarem,MEU,BR,Almeirim,Para,Almeirim,AP
MGF,SBMG,Regional De Maringa,-23.383612,-51.933334,1594,,America/Sao_Paulo,MGF,BR,Maringa,Parana,Maringa,AP
MII,SBML,Dr Gastao Vidigal Airport,-22.2,-49.933334,2014,,America/Sao_Paulo,MII,BR,Marilia,Sao Paulo,Marilia,AP
MNX,SBMY,Manicore,-5.81173955,-61.27874196726444,98,,America/Manaus,MNX,BR,Manicore,Amazonas,Manicore,AP
MOC,SBMK,Montes Claros Airport,-16.70518095,-43.82008294490494,2139,,America/Sao_Paulo,MOC,BR,Montes Claros,Minas Gerais,Montes Claros,AP
MVD,SUMU,Carrasco International Airport,-34.830431950000005,-56.02201434471925,52,,America/Montevideo,MVD,UY,Paso de Carrasco,Canelones,,AP
NAT,SBSG,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport,-5.916787,-35.250244,190,http://www.natal.aero,America/Fortaleza,NAT,BR,Parnamirim,Rio Grande do Norte,Parnamirim,AP
NVT,SBNF,Navegantes Airport,-26.87842885,-48.64935416493447,19,,America/Sao_Paulo,NVT,BR,Navegantes,Santa Catarina,Navegantes,AP
OAL,SSKW,Cacoal Airport,-11.433889,-61.4825,597,,America/Porto_Velho,OAL,BR,Cacoal,Rondonia,Cacoal,AP
OIA,SDOW,Ourilandia,-6.76392515,-51.047096751155294,856,,America/Belem,OIA,BR,,,,AP
OPP,SNSM,Salinópolis Airport,-0.696944,-47.337778,89,,America/Belem,OPP,BR,Salinópolis,,,AP
OPS,SBSI,Sinop Airport,-11.88507355,-55.58558108491808,1240,,America/Cuiaba,OPS,BR,,,,AP
ORY,LFPO,Paris Orly Airport,48.748477050000005,2.35572229362018,301,http://www.adp.fr,Europe/Paris,PAR,FR,Paray-Vieille-Poste,Ile-de-France,Departement de l'Essonne,AP
PDP,SULS,Capitan de Corbeta Carlos A. Curbelo International Airport,-34.914444,-54.919167,39,http://www.puntadeleste.aero/,America/Montevideo,PDP,UY,Maldonado,Maldonado,,AP
PET,SBPK,Federal Airport,-31.718056,-52.324444,49,,America/Sao_Paulo,PET,BR,Pelotas,Rio Grande do Sul,Pelotas,AP
PFB,SBPF,Passo Fundo Airport,-28.2435244,-52.32669864043906,2362,,America/Sao_Paulo,PFB,BR,Passo Fundo,Rio Grande do Sul,Passo Fundo,AP
PIN,SWPI,Parintins,-2.6731800000000003,-56.77727067382461,36,,America/Manaus,PIN,BR,Parintins,Amazonas,Parintins,AP
PMG,SBPP,International,-22.55,-55.7,2119,,America/Campo_Grande,PMG,BR,Ponta Pora,Mato Grosso do Sul,Ponta Pora,AP
PMW,SBPJ,Palmas Airport,-10.241667,-48.35278,757,,America/Araguaina,PMW,BR,,,,AP
PNZ,SBPL,Petrolina International Airport,-9.393333,-40.490555,1223,,America/Recife,PNZ,BR,Petrolina,Pernambuco,Petrolina,AP
POA,SBPA,Salgado Filho International Airport,-29.99526845,-51.16747969953305,22,,America/Sao_Paulo,POA,BR,Porto Alegre,Rio Grande do Sul,Porto Alegre,AP
POJ,SNPD,Patos De Minas,-18.67291465,-46.4919252194623,2746,,America/Sao_Paulo,QPT,BR,Patos de Minas,Minas Gerais,Patos De Minas,AP
PPB,SBDN,A. De Barros Airport,-22.1,-51.45,1332,http://www.daesp.sp.gov.br/aeroporto-detalhe/?id=879,America/Sao_Paulo,PPB,BR,Alvares Machado,Sao Paulo,Alvares Machado,AP
PTO,SBPO,Pato Branco,-26.2169937,-52.694225841764215,2687,,America/Sao_Paulo,PTO,BR,Pato Branco,Parana,Pato Branco,AP
PTQ,SNMZ,Porto de Moz,-1.74273455,-52.237087731100814,26,,America/Belem,PTQ,BR,Porto de Moz,Para,Porto De Moz,AP
PVH,SBPV,Porto Velho International Airport,-8.70990265,-63.900493918125576,328,,America/Porto_Velho,PVH,BR,Porto Velho,Rondonia,Porto Velho,AP
PYT,SNZR,Pedro Rabelo de Souza Airport,-17.242778,-46.883056,2398,,America/Sao_Paulo,PYT,BR,Paracatu,,,AP
QGP,SNGN,Garanhuns Airport,-8.834444,-36.471389,2533,,America/Recife,QGP,BR,Garanhuns,,,AP
RAO,SBRP,Dr. Leite Lopes State Airport,-21.135834,-47.773335,1791,,America/Sao_Paulo,RAO,BR,Ribeirao Preto,Sao Paulo,Ribeirao Preto,AP
RBB,SWBR,Borba,-4.40582015,-59.60435028003239,88,,America/Manaus,RBB,BR,Borba,Amazonas,Borba,AP
RBR,SBRB,Pres. Medici Airport,-9.966667,-67.8,462,,America/Rio_Branco,RBR,BR,Rio Branco,Acre,Rio Branco,AP
REC,SBRF,Guararapes-Gilberto Freyre International Airport,-8.1256775,-34.92271835508188,62,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=163,America/Recife,REC,BR,Recife,Pernambuco,Recife,AP
RIA,SBSM,Santa Maria Airport,-29.710556,-53.6875,285,,America/Sao_Paulo,RIA,BR,Santa Maria,Rio Grande do Sul,Santa Maria,AP
ROO,SBRD,Rondonopolis Airport,-16.433332,-54.716667,1085,http://www.rondonopolis.mt.gov.br/orgaos-municipais/aeroporto-municipal-maestro-marinho-franco/,America/Cuiaba,ROO,BR,Rondonopolis,Mato Grosso,Rondonopolis,AP
RRJ,SBJR,Jacarepaguá Airport,-22.98641695,-43.37144946439823,45,https://www4.infraero.gov.br/aeroportos/aeroporto-de-jacarepagua-roberto-marinho/,America/Sao_Paulo,RRJ,BR,Rio de Janeiro,,,AP
SDU,SBRJ,Santos Dumont Airport,-22.91044395,-43.16418613781168,49,,America/Sao_Paulo,RIO,BR,Rio de Janeiro,Rio de Janeiro,Rio De Janeiro,AP
SET,,San Esteban,15.316667,-85.86667,2910,,America/Tegucigalpa,SET,HN,San Esteban,Olancho,,AP
SJL,SBUA,Da Cachoeira,-0.1483109,-66.98557275279653,239,,America/Manaus,SJL,BR,Sao Gabriel da Cachoeira,Amazonas,Sao Gabriel Da Cachoeira,AP
SJP,SBSR,Sao Jose do Rio Preto Airport,-20.81731545,-49.40846770047455,1755,,America/Sao_Paulo,SJP,BR,Sao Jose do Rio Preto,Sao Paulo,Sao Jose Do Rio Preto,AP
SLZ,SBSL,Marechal Cunha Machado International Airport,-2.58899115,-44.23940764493366,111,,America/Fortaleza,SLZ,BR,Sao Luis,Maranhao,Sao Luis,AP
SMT,SBSO,Sun Moon Lake,23.883333,120.933334,2355,,Asia/Taipei,SMT,TW,Puli,Taiwan,Nantou,AP
SSA,SBSV,Deputado Luis Eduardo Magalhaes International Airport,-12.91102045,-38.33497451468749,19,,America/Bahia,SSA,BR,Lauro de Freitas,Bahia,Lauro De Freitas,AP
STM,SBSN,Santarem-Maestro Wilson Fonseca Airport,-2.42713895,-54.80445559036728,206,,America/Santarem,STM,BR,Santarem,Para,Santarem,AP
TBT,SBTT,Tabatinga International Airport,-4.233333,-69.933334,279,,America/Manaus,TBT,BR,Tabatinga,Amazonas,Tabatinga,AP
TEC,SSVL,Telemaco Borba,-24.31767995,-50.65176291354726,2610,,America/Sao_Paulo,TEC,BR,Telemaco Borba,Parana,Telemaco Borba,AP
TFF,SBTF,Tefe Airport,-3.3824045,-64.72460759140549,188,,America/Manaus,TFF,BR,Tefe,Amazonas,Tefe,AP
TFL,SNTO,Teofilo Otoni,-17.85,-41.5,1572,,America/Sao_Paulo,TFL,BR,Teofilo Otoni,Minas Gerais,Teofilo Otoni,AP
THE,SBTE,Teresina Airport,-5.0598744,-42.82351020263352,219,,America/Fortaleza,THE,BR,Teresina,Piaui,Teresina,AP
TMT,SBTB,Trombetas,-1.916667,-55.583332,287,,America/Santarem,TMT,BR,Abidos,Para,Obidos,AP
TUR,SBTU,Tucurui,-3.7,-49.733334,830,,America/Belem,TUR,BR,Tucurui,Para,Tucurui,AP
UBA,SBUR,Uberaba Airport,-19.776388,-47.958332,2655,,America/Sao_Paulo,UBA,BR,Uberaba,Minas Gerais,Uberaba,AP
UDI,SBUL,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,-18.9,-48.233334,3094,,America/Sao_Paulo,UDI,BR,Uberlandia,Minas Gerais,Uberlandia,AP
UMU,SSUM,Ernesto Geisel,-23.798332,-53.31333,1558,,America/Sao_Paulo,UMU,BR,Umuarama,Parana,Umuarama,AP
UNA,SBTC,Una,-15.353333,-38.997223,20,,America/Bahia,UNA,BR,Una,Bahia,Una,AP
URG,SBUG,Ruben Berta Airport,-29.781668,-57.038334,256,,America/Sao_Paulo,URG,BR,Uruguaiana,Rio Grande do Sul,Uruguaiana,AP
UVI,,União da Vitória Airport,-26.231667,-51.068889,2437,,America/Sao_Paulo,UVI,BR,Porto Uniao,Santa Catarina,Porto Uniao,AP
VAG,SBVG,Major-Brigadeiro Trompowsky Airport,-21.55,-45.433334,2870,,America/Sao_Paulo,VAG,BR,Varginha,Minas Gerais,Varginha,AP
VCP,SBKP,Viracopos Airport,-23.00605625,-47.1418432690333,2096,,America/Sao_Paulo,SAO,BR,Indaiatuba,Sao Paulo,Indaiatuba,AP
VDC,SBVC,Vitoria Da Conquista Airport,-14.86450825,-40.862788613186495,2916,,America/Bahia,VDC,BR,Vitoria da Conquista,Bahia,Vitoria Da Conquista,AP
VIX,SBVT,Eurico de Aguiar Salles Airport,-20.256092950000003,-40.28135718192593,49,,America/Sao_Paulo,VIX,BR,Vila Velha,Espirito Santo,Vila Velha,AP
XAP,SBCH,Chapeco Airport,-27.088612,-52.629723,2146,,America/Sao_Paulo,XAP,BR,Chapeco,Santa Catarina,Chapeco,AP
